time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,0,0,0,0
2026-09-06 00:00:00+00:00,3,1,0,0
2026-09-07 00:00:00+00:00,0,0,0,0
2026-09-08 00:00:00+00:00,0,0,0,0
2026-09-09 00:00:00+00:00,0,0,5,1
2026-09-10 00:00:00+00:00,276,17,35,1
2026-09-11 00:00:00+00:00,196,57,38,18
2026-09-12 00:00:00+00:00,174,58,2,2
2026-09-13 00:00:00+00:00,333,94,69,51
2026-09-14 00:00:00+00:00,485,92,241,68
2026-09-15 00:00:00+00:00,142,54,36,20
2026-09-16 00:00:00+00:00,30,9,26,10
2026-09-17 00:00:00+00:00,18,11,4,4
